Rank;Actual gross;Adjusted gross (in 2022 dollars);Artist;Tour title;Shows;Average gross;Start Year;End Year
1;780000000.0;780000000.0;Taylor Swift;The Eras Tour;56;13928571.0;2023;2024
2;579800000.0;579800000.0;Beyoncé;Renaissance World Tour;56;10353571.0;2023;2023
3;411000000.0;560622615.0;Madonna;Sticky & Sweet Tour;85;4835294.0;2008;2009
4;397300000.0;454751555.0;Pink;Beautiful Trauma World Tour;156;2546795.0;2018;2019
5;345675146.0;402844849.0;Taylor Swift;Reputation Stadium Tour;53;6522173.0;2018;2018
6;305158363.0;388978496.0;Madonna;The MDNA Tour;88;3467709.0;2012;2012
7;280000000.0;381932682.0;Celine Dion;Taking Chances World Tour;131;2137405.0;2008;2009
7;257600000.0;257600000.0;Pink;Summer Carnival;41;6282927.0;2023;2024
9;256084556.0;312258401.0;Beyoncé;The Formation World Tour;49;5226215.0;2016;2016
10;250400000.0;309141878.0;Taylor Swift;The 1989 World Tour;85;2945882.0;2015;2015
11;229100000.0;283202896.0;Beyoncé;The Mrs. Carter Show World Tour;132;1735606.0;2013;2014
12;227400000.0;295301479.0;Lady Gaga;The Monster Ball Tour;203;1118227.0;2009;2011
13;204000000.0;251856802.0;Katy Perry;Prismatic World Tour;151;1350993.0;2014;2015
14;200000000.0;299676265.0;Cher;Living Proof: The Farewell Tour;325;615385.0;2002;2005
15;194000000.0;281617035.0;Madonna;Confessions Tour;60;3233333.0;2006;2006
16;184000000.0;227452347.0;Pink;The Truth About Love Tour;142;1295775.0;2013;2014
17;170000000.0;213568571.0;Lady Gaga;Born This Way Ball;98;1734694.0;2012;2013
18;169800000.0;207046755.0;Madonna;Rebel Heart Tour;82;2070732.0;2015;2016
19;167700000.0;204486106.0;Adele;Adele Live 2016;121;1385950.0;2016;2017
20;150000000.0;185423109.0;Taylor Swift;The Red Tour;86;1744186.0;2013;2014
